sample,time,id,sex,date,time,site,habitat,ape,assoc
1,T1,2PRY,F,03/05/2017,07:30,R5,terrestrial,2.5,UR
2,T1,P2BY,M,01/05/2017,17:09,R5,terrestrial,2.5,B2BY
3,T1,U2BY,F,01/05/2017,18:03,R29,terrestrial,2,IZBY
4,T1,H3WR,F,03/05/2017,09:48,R25,terrestrial,2.5,NONE
5,T1,96WB,M,01/05/2017,07:51,N6,terrestrial,2,2KWR
6,T1,IUBY,F,01/05/2017,18:26,R25,terrestrial,3.5,NONE
7,T1,D2LY,F,03/05/2017,11:37,R25,terrestrial,2.5,UR
8,T1,FPBY,F,03/05/2017,12:28,R27,terrestrial,2.5,ALBY
9,T1,VZWR,M,03/05/2017,12:55,R6A,terrestrial,2,UR
10,T1,66RY,M,03/05/2017,13:10,G5,marine,3,UR
11,T1,L3BY,F,03/05/2017,13:24,G3,marine,3,UR
12,T1,ZFWB,F,03/05/2017,13:48,G2,marine,3,UR
13,T1,6LBY,F,03/05/2017,14:32,G3,marine,2.5,NONE
14,T1,FVBY,F,02/05/2017,14:15,R25,terrestrial,2,JUBY
15,T1,HZBY,F,03/05/2017,19:18,R5,terrestrial,2.5,VXBY
16,T1,XXBY,M,02/05/2017,12:36,R25,terrestrial,2.5,CZBY
17,T1,2XRB,M,02/05/2017,13:58,R29,terrestrial,3,NONE
18,T1,PXBY,M,02/05/2017,16:55,R25,terrestrial,3,NONE
19,T1,ILRR,F,02/05/2017,17:31,R25,terrestrial,3,PCWR
20,T1,2DBY,M,07/05/2017,09:14,R5,terrestrial,2.5,2ZBY
21,T1,UBRY,M,07/05/2017,10:20,G2,marine,2.5,UR
22,T1,I3YY,F,07/05/2017,11:47,R17,terrestrial,3,UR
23,T1,62WB,F,07/05/2017,15:55,G2,marine,3,NONE
24,T1,CCRY,F,07/05/2017,16:50,R16,terrestrial,4,FTBY
25,T1,77WB,M,07/05/2017,18:30,G3,marine,3,6-W-
26,T1,2FWR,M,07/05/2017,17:31,R28,terrestrial,2.5,NONE
27,T1,2CWR,UK,07/05/2017,18:03,R5,terrestrial,2.5,NONE
28,T1,6ABY,M,05/05/2017,13:13,G2,marine,2.5,6JBY
29,T1,6JBY,F,07/05/2017,18:44,G2,marine,3,6ABY
30,T1,DAON,F,05/05/2017,13:41,R5,terrestrial,2,NONE
31,T1,FJRY,M,05/05/2017,12:17,R17,terrestrial,2,NONE
32,T1,67ON,UK,05/05/2017,09:27,R1,terrestrial,3,K3BY
33,T1,CAON,F,05/05/2017,12:36,R28,terrestrial,2,DPON
34,T1,XSWR,F,04/05/2017,11:59,G7,marine,2.5,NONE
35,T1,2BDBO,F,05/05/2017,16:27,R16,terrestrial,3,AXBY
36,T1,JUBY,M,05/05/2017,16:49,R5,terrestrial,3,FVBY
37,T1,NZBY,F,04/05/2017,08:19,R16,terrestrial,2,N2BY
38,T1,2PWR,M,04/05/2017,10:00,G3,marine,4,2NWR
39,T1,2NWR,F,04/05/2017,10:00,G3,marine,4.5,2PWR
40,T1,XLWR,M,05/05/2017,17:05,G7,marine,3,X2WR
41,T1,DPON,M,04/05/2017,10:54,R5,terrestrial,2.5,CAON
42,T1,T2BY,M,04/05/2017,11:28,R16,terrestrial,2.5,D2BY
43,T1,IHLY,F,05/05/2017,17:18,N3,terrestrial,2.5,UR
44,T1,ZAWR,M,05/05/2017,18:32,R28,terrestrial,2,ZHWR
45,T1,6KBY,F,04/05/2017,15:36,R5,terrestrial,2.5,UR
46,T1,XXRR,M,04/05/2017,17:19,G2,marine,2.5,NONE
47,T1,26WB,M,04/05/2017,19:05,R5,terrestrial,2,43WB
48,T1,4UBY,F,04/05/2017,07:38,R6B,terrestrial,2.5,UR
49,T1,IZBY,M,04/05/2017,08:09,R16,terrestrial,2,U2BY
50,T1,9NBY,M,08/05/2017,07:58,R5,terrestrial,2.5,NONE
51,T1,NDRB,F,08/05/2017,09:43,G2,marine,3,TSRB
52,T2,XLWR,M,14/05/2017,11:05,R1,terrestrial,3.5,X2WR
53,T2,96WB,M,08/05/2017,15:32,G10,marine,2.5,2KWR
54,T2,U2BY,F,10/05/2017,18:26,R5,terrestrial,4,IZBY
55,T2,XXRR,M,10/05/2017,19:05,R1,terrestrial,4,NONE
56,T2,IHLY,F,10/05/2017,15:48,R25,terrestrial,2,UR
57,T2,D2LY,F,10/05/2017,11:10,R25,terrestrial,3,UR
58,T2,6LBY,F,10/05/2017,16:23,G2,marine,4,NONE
59,T2,ZFWB,F,13/05/2017,11:54,G2,marine,4.5,UR
60,T2,H3WR,F,13/05/2017,11:30,R25,terrestrial,4.5,NONE
61,T2,2NWR,F,13/05/2017,12:23,G2,marine,5,2PWR
62,T2,6JBY,F,13/05/2017,16:38,G2,marine,3.5,6ABY
63,T2,6ABY,M,13/05/2017,16:38,G2,marine,2,6JBY
64,T2,2PWR,M,13/05/2017,12:23,G2,marine,3,2NWR
65,T2,CAON,F,14/05/2017,20:20,R6A,terrestrial,3,DPON
66,T2,DPON,M,14/05/2017,20:20,R6A,terrestrial,2.5,CAON
67,T2,I3YY,F,14/05/2017,12:21,R16,terrestrial,4.5,UR
68,T2,9NBY,M,14/05/2017,20:37,R5,terrestrial,4,NONE
69,T2,2CWR,UK,14/05/2017,17:05,R5,terrestrial,4.5,NONE
70,T2,HZBY,F,14/05/2017,19:52,R6B,terrestrial,5,VXBY
71,T2,VZWR,M,16/05/2017,11:40,R5,terrestrial,4.5,UR
72,T2,XSWR,F,16/05/2017,10:10,R1,terrestrial,5,NONE
73,T2,26WB,M,15/05/2017,09:35,R25,terrestrial,4.5,43WB
74,T2,UBRY,M,15/05/2017,14:41,G2,marine,3,UR
75,T2,JUBY,M,15/05/2017,09:00,R29,terrestrial,4.5,FVBY
76,T2,CCRY,F,15/05/2017,16:20,R16,terrestrial,5.5,FTBY
77,T2,2DBY,M,15/05/2017,20:05,R5,terrestrial,5,2ZBY
78,T2,62WB,F,15/05/2017,20:56,G2,marine,5,NONE
79,T2,6KBY,F,15/05/2017,21:13,R6A,terrestrial,4.5,UR
80,T2,FVBY,F,15/05/2017,21:28,R5,terrestrial,4.5,JUBY
82,T2,ZAWR,M,18/05/2017,12:41,R28,terrestrial,5,ZHWR
83,T2,XXBY,M,18/05/2017,11:36,R15,terrestrial,4,CZBY
84,T2,2BDBO,F,18/05/2017,11:36,R15,terrestrial,6,AXBY
85,T3,2DBY,M,19/05/2017,16:31,R5,terrestrial,6,2ZBY
86,C2,ZFBY,F,19/05/2017,19:10,R1,terrestrial,4,NONE
87,T3,67ON,UK,19/05/2017,18:54,R1,terrestrial,5,K3BY
88,T3,D2LY,F,19/05/2017,17:04,R5,terrestrial,5,UR
89,C2,47BY,M,19/05/2017,10:23,R6A,terrestrial,4.5,LABY
90,T3,IZBY,M,19/05/2017,09:35,G2,marine,3.5,U2BY
91,T2,IUBY,F,18/05/2017,10:56,,terrestrial,5.5,NONE
91,T3,U2BY,F,19/05/2017,09:35,G2,marine,5,IZBY
92,T3,77WB,M,19/05/2017,08:53,G4,marine,5.5,6-W-
93,T3,XLWR,M,19/05/2017,08:28,G7,marine,5,X2WR
94,T2,4UBY,F,17/05/2017,15:17,R5,terrestrial,4.5,UR
95,T3,96WB,M,17/05/2017,10:37,R28,terrestrial,4.5,2KWR
96,T3,26WB,M,17/05/2017,08:45,R6B,terrestrial,4.5,43WB
97,T2,66RY,M,17/05/2017,11:52,G3,marine,5,UR
98,T3,UBRY,M,20/05/2017,19:26,G2,marine,5,UR
99,C2,ZPBY,F,20/05/2017,10:15,G4,marine,5,FNON
100,T3,NDRB,F,20/05/2017,10:58,G2,marine,6,TSRB
101,T3,XXRR,M,20/05/2017,11:58,G2,marine,4.5,NONE
102,T3,2PWR,M,20/05/2017,19:01,R1,terrestrial,5.5,2NWR
103,T3,JUBY,M,20/05/2017,16:00,R5,terrestrial,5.5,FVBY
104,T3,2NWR,F,20/05/2017,19:01,R1,terrestrial,6.5,2PWR
105,T3,6ABY,M,21/05/2017,08:39,G2,marine,4.5,6JBY
106,T3,6JBY,F,21/05/2017,08:39,G2,marine,5.5,6ABY
107,C2,77BY,F,20/05/2017,20:33,R15,terrestrial,7,67BY
108,T3,2PRY,F,21/05/2017,07:43,R28,terrestrial,6.5,UR
109,T3,HZBY,F,20/05/2017,20:13,R5,terrestrial,6,VXBY
110,T3,FVBY,F,22/05/2017,16:49,R5,terrestrial,6,JUBY
111,T3,6KBY,F,22/05/2017,17:17,R5,terrestrial,5,UR
112,T3,2BDBO,F,22/05/2017,17:50,R5,terrestrial,6,AXBY
113,C2,I9BY,M,22/05/2017,10:32,R25,terrestrial,5,FKON
114,T3,62WB,F,22/05/2017,09:17,G2,marine,6,NONE
115,C2,IUBB,UK,22/05/2017,08:59,G2,marine,5,UK
116,C2,P9BY,M,22/05/2017,08:32,R1,terrestrial,5,J9BY
117,T3,2CWR,UK,23/05/2017,12:04,R5,terrestrial,6,NONE
118,T3,6LBY,F,23/05/2017,11:06,R1,terrestrial,6,NONE
119,T3,IHLY,F,23/05/2017,09:58,G4,marine,4,UR
120,T3,XSWR,F,23/05/2017,08:06,R1,terrestrial,6,NONE
121,T3,62WB,F,23/05/2017,08:26,G2,marine,6,NONE
122,T3,66RY,M,24/05/2017,09:58,R1,terrestrial,6,UR
123,T3,IZBY,M,24/05/2017,08:36,G2,marine,4.5,U2BY
124,T3,9NBY,M,24/05/2017,07:40,G3,marine,6,NONE
125,T3,XXBY,M,23/05/2017,16:39,R5,terrestrial,5,CZBY
126,T3,CAON,F,23/05/2017,16:00,R5,terrestrial,5.5,DPON
127,C2,P9BY,M,23/05/2017,15:28,G10,marine,5,J9BY
128,C2,S9BY,F,23/05/2017,15:28,G10,marine,5,JUV
129,T3,DPON,M,23/05/2017,12:15,R6A,terrestrial,6,CAON
130,T3,I3YY,F,27/05/2017,08:37,R6A,terrestrial,6.5,UR
131,T3,CCRY,F,25/05/2017,15:41,R16,terrestrial,6.5,FTBY
132,C2,32BY,M,26/05/2017,17:49,R5,terrestrial,5.5,44WB??
133,T3,44WB,F,26/05/2017,17:49,R5,terrestrial,7,??
134,T3,H3WR,F,25/05/2017,20:07,R5,terrestrial,6,NONE
135,T3,43BY,M,25/05/2017,10:08,G10,marine,4.5,JUV
136,C1,32BY,M,08/05/2017,16:15,R16,terrestrial,4.5,44WB??
137,C1,ZPBY,F,11/05/2017,09:55,R25,terrestrial,,FNON
138,C1,P9BY,M,11/05/2017,09:55,R25,terrestrial,5,J9BY
139,C1,47BY,M,09/05/2017,18:00,R25,terrestrial,,LABY
140,C1,77BY,F,09/05/2017,18:00,R25,terrestrial,,67BY
141,C1,I9BY,M,11/05/2017,09:55,R25,terrestrial,4,FKON
142,C1,S9BY,F,11/05/2017,09:55,R25,terrestrial,4,JUV
143,C1,ZFBY,F,10/05/2017,19:30,R16,terrestrial,,NONE
144,C1,IUBB,UK,13/05/2017,12:30,R16,terrestrial,,UK
145,T3,ZFWB,F,20/05/2017,10:58,G2,marine,5.5,UR
