Bird,Sheet,Date,Time,Observer_code,SiteCode,Flock_size,No. Checked,Associates,API,UNR:API,Res Order,Comments
4UBY,,17/05/2017,14:50,"TH, JS",R5,56,,,4.5,,,
ICBY,,17/05/2017,14:50,"TH, JS",R5,56,,,,,,
2CWR,,17/05/2017,14:50,"TH, JS",R5,56,,,5,,,
ABBY,,17/05/2017,15:34,"TH, JS",R5,120,,,4,,,
mKmY,,17/05/2017,15:34,"TH, JS",R5,120,,unringed,4.5,,,
VXBY,,17/05/2017,15:34,"TH, JS",R5,120,,HZBY,4,5.5,,
HZBY,,17/05/2017,15:34,"TH, JS",R5,120,,VXBY,5.5,4,,
HHBB,,17/05/2017,15:34,"TH, JS",R5,120,,CKBB,,,,
CKBB,,17/05/2017,15:34,"TH, JS",R5,120,,HHBB,,,,
34WB,,17/05/2017,15:34,"TH, JS",R5,120,,,,,,
U9BY,,17/05/2017,16:13,"TH, JS",G2,15,,BSBY,,,,
BSBY,,17/05/2017,16:13,"TH, JS",G2,15,,U9BY,,,,
IZBY,,17/05/2017,16:13,"TH, JS",G2,15,,U2BY,3,4,,1 juvenile
U2BY,,17/05/2017,16:13,"TH, JS",G2,15,,IZBY,4,3,,1 juvenile
I9BY,,18/05/2017,10:13,"TH, JS",,20,,,,,,
FKON,,18/05/2017,10:13,"TH, JS",,20,,,,,,
DUBY,,18/05/2017,10:13,"TH, JS",,20,,,,,,
IUBY,,18/05/2017,10:13,"TH, JS",,20,,unringed,5.5,,,
CZBY,,18/05/2017,11:07,"TH, JS",R15,10,,XXBY,4.5,4,,
XXBY,,18/05/2017,11:07,"TH, JS",R15,10,,CZBY,4,4.5,,
AXBY,,18/05/2017,11:07,"TH, JS",R15,10,,2BDBO,5.5,6,,2 juveniles
2BDBO,,18/05/2017,11:07,"TH, JS",R15,10,,AXBY,6,5.5,,2 juveniles
ZHWR,,18/05/2017,12:13,"TH, JS",R28,19,,ZAWR,5.5,5,,4 juveniles
ZAWR,,18/05/2017,12:13,"TH, JS",R28,19,,ZHWR,5,5.5,,4 juveniles
2PWR,,18/05/2017,14:33,"TH, JS",G3,3,,2NWR,4.5,5,,1 juvenile
2NWR,,18/05/2017,14:33,"TH, JS",G3,3,,2PWR,5,4.5,,1 juvenile
4JBY,,18/05/2017,16:36,"TH, JS",R5,10,,AHBY,,,,2 juveniles
AHBY,,18/05/2017,16:36,"TH, JS",R5,10,,4JBY,,,,2 juveniles
BILY,,18/05/2017,16:51,"TH, JS",R1,23,,,4.5,,,
mPmY,,19/05/2017,08:17,"TH, JS",,4,,unringed,5.5,,,
XLWR,,19/05/2017,08:17,"TH, JS",,2,,X2WR,5,,,
X2WR,,19/05/2017,08:17,"TH, JS",,2,,XLWR,,5,,
77WB,,19/05/2017,08:53,"TH, JS",G4,10,,,,,,
U2BY,,19/05/2017,09:15,"TH, JS",G2,16,,IZBY,5,3.5,,1 juvenile
IZBY,,19/05/2017,09:15,"TH, JS",G2,16,,U2BY,3.5,5,,1 juvenile
47BY,,19/05/2017,10:18,"TH, JS",R6A,6,,LABY,4.5,6,,
LABY,,19/05/2017,10:18,"TH, JS",R6A,6,,47BY,6,4.5,,
Z9BY,,19/05/2017,16:00,"TH, JS",R6A,,,ZXBY,,6,,
ZXBY,,19/05/2017,16:00,"TH, JS",R6A,,,Z9BY,6,,,
I9BY,,19/05/2017,16:00,"TH, JS",R6A,,,FKON,5,5.5,,
FKON,,19/05/2017,16:00,"TH, JS",R6A,,,I9BY,5.5,5,,
2ZBY,,19/05/2017,16:00,"TH, JS",R6A,,,2DBY,6,6,,
2DBY,,19/05/2017,16:00,"TH, JS",R6A,,,2ZBY,6,6,,
ICBY,,19/05/2017,16:00,"TH, JS",R6A,,,unringed,,,,
JUBY,,19/05/2017,16:00,"TH, JS",R6A,,,FVBY,5.5,5,,
FVBY,,19/05/2017,16:00,"TH, JS",R6A,,,JUBY,5,5.5,,
26WB,,19/05/2017,16:00,"TH, JS",R6A,,,43WB,,,,
43WB,,19/05/2017,16:00,"TH, JS",R6A,,,26WB,,,,
ATBY,,19/05/2017,16:37,"TH, JS",R5,200,,unringed,5,,,
VXBY,,19/05/2017,16:37,"TH, JS",R5,200,,HZBY,5.5,,,
HZBY,,19/05/2017,16:37,"TH, JS",R5,200,,VXBY,,5.5,,
A9BY,,19/05/2017,16:37,"TH, JS",R5,200,,,,,,is a juvenile
D2LY,,19/05/2017,16:37,"TH, JS",R5,200,,,5,,,single
6DBY,,19/05/2017,17:25,"TH, JS",G6,,,6PBY,5,5.5,,
6PBY,,19/05/2017,17:25,"TH, JS",G6,,,6DBY,5.5,5,,
2BWR,,19/05/2017,17:25,"TH, JS",G6,,,unringed,5,,,
6ABY,,19/05/2017,17:45,"TH, JS",G2,8,,6JBY,4.5,,,
6JBY,,19/05/2017,17:45,"TH, JS",G2,8,,6ABY,,4.5,,
6HBY,,19/05/2017,17:45,"TH, JS",G2,8,,,,,,
L7BY,,19/05/2017,17:45,"TH, JS",G2,8,,,5,,,is a juvenile + unringed parents
mNmY,,19/05/2017,18:00,"TH, JS",R1,200,,,,,,
ZPBY,,19/05/2017,18:00,"TH, JS",R1,200,,FNON,,,,
FNON,,19/05/2017,18:00,"TH, JS",R1,200,,ZPBY,,,,collared
43WB,,19/05/2017,18:00,"TH, JS",R1,200,,26WB,6,4.5,,
26WB,,19/05/2017,18:00,"TH, JS",R1,200,,43WB,4.5,6,,
XLWR,,19/05/2017,18:00,"TH, JS",R1,200,,X2WR,5,6,,
X2WR,,19/05/2017,18:00,"TH, JS",R1,200,,XLWR,6,5,,
H6BY,,19/05/2017,18:00,"TH, JS",R1,200,,,4.5,,,is a juvenile
XSWR,,19/05/2017,18:00,"TH, JS",R1,200,,,,,,
UULY,,19/05/2017,18:00,"TH, JS",R1,200,,,5,,,
I7BY,,19/05/2017,18:00,"TH, JS",R1,200,,,4.5,,,is a juvenile
XVWR,,19/05/2017,18:00,"TH, JS",R1,200,,X-W-,4,,,2 juveniles
X-W-,,19/05/2017,18:00,"TH, JS",R1,200,,XVWR,,4,,2 juveniles
67ON,,19/05/2017,18:00,"TH, JS",R1,200,,K3BY,5,4.5,,collared
K3BY,,19/05/2017,18:00,"TH, JS",R1,200,,67ON,4.5,5,,
Z3RY,,19/05/2017,18:00,"TH, JS",R1,200,,,,,,
BBBB,,19/05/2017,18:00,"TH, JS",R1,200,,,,,,
UDRB,,19/05/2017,18:00,"TH, JS",R1,200,,unringed,,,,
7IBY,,19/05/2017,18:00,"TH, JS",R1,200,,unringed,,,,
ZFBY,,19/05/2017,18:00,"TH, JS",R1,200,,,,,,
CCRR,,19/05/2017,18:00,"TH, JS",R1,200,,,,,,
X6WR,,19/05/2017,18:00,"TH, JS",R1,200,,,,,,
LIRY,,19/05/2017,18:00,"TH, JS",R1,200,,unringed,5,,,
L9BY,,19/05/2017,18:00,"TH, JS",R1,200,,,,,,
I3YY,,19/05/2017,,"TH, JS",R15,20,,,6,,,
2JWR,,20/05/2017,07:50,"TH, JS",R6B,22,,unringed,6.5,,,
37BY,,20/05/2017,07:50,"TH, JS",R6B,20,,ZABY,,,,
ZABY,,20/05/2017,07:50,"TH, JS",R6B,20,,37BY,,,,
V7BY,,20/05/2017,07:50,"TH, JS",R6B,20,,,4,,,is a juvenile
F3WR,,20/05/2017,07:50,"TH, JS",R6B,20,,unringed,5,,,
D3LY,,20/05/2017,07:50,"TH, JS",R6B,20,,unringed,4.5,,,
32WB,,20/05/2017,07:50,"TH, JS",R6B,20,,,,,,
4UBY,,20/05/2017,07:50,"TH, JS",R6B,20,,unringed,,,,
D2LY,,20/05/2017,08:43,"TH, JS",R6A,21,,unringed,5,,,
B7BY,,20/05/2017,08:43,"TH, JS",R6A,21,,,4.5,,,is a juvenile with 1 parent
XXBY,,20/05/2017,08:43,"TH, JS",R6A,21,,CZBY,,,,
CZBY,,20/05/2017,08:43,"TH, JS",R6A,21,,XXBY,,,,
26WB,,20/05/2017,08:43,"TH, JS",R6A,21,,43WB,4.5,,,
43WB,,20/05/2017,08:43,"TH, JS",R6A,21,,26WB,,4.5,,
2BDBO,,20/05/2017,09:49,"TH, JS",R28,,,AXBY,,,,1 juvenile?
AXBY,,20/05/2017,09:49,"TH, JS",R28,,,2BDBO,,,,1 juvenile?
ZPBY,,20/05/2017,10:05,"TH, JS",G4,9,,FNON,5,6,,
FNON,,20/05/2017,10:05,"TH, JS",G4,9,,ZPBY,6,5,,collared
2PWR,,20/05/2017,10:05,"TH, JS",G3,,,2NWR,,,,1 juvenile
2NWR,,20/05/2017,10:05,"TH, JS",G3,,,2PWR,,,,1 juvenile
UULY,,20/05/2017,10:05,"TH, JS",G3,,,,,,,
94WB,,20/05/2017,10:05,"TH, JS",G3,,,,,,,
ZFWB,,20/05/2017,10:15,"TH, JS",G2,10,,unringed,5.5,,,1 juvenile
NDRB,,20/05/2017,10:15,"TH, JS",G2,10,,TSRB,6,4.5,,5 juveniles
TSRB,,20/05/2017,10:15,"TH, JS",G2,10,,NDRB,4.5,6,,5 juveniles
XXRR,,20/05/2017,11:08,"TH, JS",G2,48,,unringed,4.5,,,
6HBY,,20/05/2017,11:08,"TH, JS",G2,48,,6NBY,,,,
6NBY,,20/05/2017,11:08,"TH, JS",G2,48,,6HBY,,,,
6ABY,,20/05/2017,11:08,"TH, JS",G2,48,,6JBY,4.5,5.5,,
6JBY,,20/05/2017,11:08,"TH, JS",G2,48,,6ABY,5.5,4.5,,
ZTRY,,20/05/2017,11:08,"TH, JS",G2,48,,unringed,,,,
FKON,,20/05/2017,15:34,"TH, JS",R6A,70,,I9BY,5.5,5.5,,
I9BY,,20/05/2017,15:34,"TH, JS",R6A,70,,FKON,5.5,5.5,,
FVBY,,20/05/2017,15:34,"TH, JS",R6A,70,,JUBY,5,5.5,,
JUBY,,20/05/2017,15:34,"TH, JS",R6A,70,,FVBY,5.5,5,,
H3WR,,20/05/2017,15:34,"TH, JS",R6A,70,,,5.5,,,
IBBY,,20/05/2017,15:34,"TH, JS",R6A,70,,SBBY,,,,
SBBY,,20/05/2017,15:34,"TH, JS",R6A,70,,IBBY,,,,
FPRR,,20/05/2017,15:34,"TH, JS",R6A,70,,,6.5,,,
26WB,,20/05/2017,15:34,"TH, JS",R6A,70,,43WB,,,,
43WB,,20/05/2017,15:34,"TH, JS",R6A,70,,26WB,,,,
ATBY,,20/05/2017,15:34,"TH, JS",R6A,70,,,6,,,
IUBY,,20/05/2017,15:34,"TH, JS",R6A,70,,,,,,
2NWR,,20/05/2017,18:56,"TH, JS",R1,200,,2PWR,6.5,5.5,,1 juvenile
2PWR,,20/05/2017,18:56,"TH, JS",R1,200,,2NWR,5.5,6.5,,1 juvenile
UBRY,,20/05/2017,19:26,"TH, JS",G2,15,,,5,,,
HZBY,,20/05/2017,19:56,"TH, JS",R5,30,,VXBY,6,5,,1 juvenile
VXBY,,20/05/2017,19:56,"TH, JS",R5,30,,HZBY,5,6,,1 juvenile
2PRY,,20/05/2017,20:19,"TH, JS",R15,14,,,,,,
XXBY,,20/05/2017,20:19,"TH, JS",R15,14,,,,,,
67BY,,20/05/2017,20:19,"TH, JS",R15,14,,77BY,6,7,,
77BY,,20/05/2017,20:19,"TH, JS",R15,14,,67BY,7,6,,
ZAWR,,21/05/2017,07:00,"TH, JS",R28,70,,ZHWR,5,,,
ZHWR,,21/05/2017,07:00,"TH, JS",R28,70,,ZAWR,,5,,
ATBY,,21/05/2017,07:00,"TH, JS",R28,70,,,,,,
mKmY,,21/05/2017,07:00,"TH, JS",R28,70,,,5,,,
UCBY,,21/05/2017,07:00,"TH, JS",R28,70,,IDBY,6.5,,,
IDBY,,21/05/2017,07:00,"TH, JS",R28,70,,UCBY,6.5,,,
2PRY,,21/05/2017,07:00,"TH, JS",R28,70,,unringed,6,,,
9VBY,,21/05/2017,07:00,"TH, JS",R28,70,,,,,,
KALY,,21/05/2017,08:06,"TH, JS",G6,,,,,,,
9PBY,,21/05/2017,08:06,"TH, JS",G6,,,,,,,
67ON,,21/05/2017,08:06,"TH, JS",G6,,,K3BY,,,,
K3BY,,21/05/2017,08:06,"TH, JS",G6,,,67ON,,,,
72WB,,21/05/2017,08:06,"TH, JS",G6,,,,5,,,
XPWR,,21/05/2017,08:06,"TH, JS",G6,,,,,,,
XSWR,,21/05/2017,08:06,"TH, JS",G6,,,,,,,
3IRR,,21/05/2017,08:06,"TH, JS",G6,,,,,,,
2NWR,,21/05/2017,08:06,"TH, JS",G6,,,2PWR,,,,1 juvenile
2PWR,,21/05/2017,08:06,"TH, JS",G6,,,2NWR,,,,1 juvenile
BBBB,,21/05/2017,08:06,"TH, JS",G6,,,,6,,,
6ABY,,21/05/2017,08:15,"TH, JS",G2,12,,6JBY,4.5,5.5,,
6JBY,,21/05/2017,08:15,"TH, JS",G2,12,,6ABY,5.5,4.5,,
UBRY,,21/05/2017,08:15,"TH, JS",G2,24,,unringed,5,,,
S6YY,,22/05/2017,,"TH, JS",R6A,,,unringed,,,,1 juvenile
CTBY,,22/05/2017,,"TH, JS",R6A,,,JTBY,5,5.5,,
JTBY,,22/05/2017,,"TH, JS",R6A,,,CTBY,5.5,5,,
I7BY,,22/05/2017,,"TH, JS",R6A,,,,4.5,,,only juvenile of unringed parents
S9BY,,22/05/2017,,"TH, JS",R6A,,,,,,,
D2LY,,22/05/2017,,"TH, JS",R6A,,,unringed,5.5,,,
DPON,,22/05/2017,08:05,"TH, JS",R6B,4,,CAON,,4.5,,
CAON,,22/05/2017,08:05,"TH, JS",R6B,4,,DPON,4.5,,,
D2LY,,22/05/2017,08:05,"TH, JS",R6B,4,,unringed,5.5,,,
FVBY,,22/05/2017,08:57,"TH, JS",R6A,,,JUBY,,,,
JUBY,,22/05/2017,08:57,"TH, JS",R6A,,,FVBY,,,,
7ABY,,22/05/2017,08:57,"TH, JS",R6A,,,UHWB,5,,,4 juveniles
UHWB,,22/05/2017,08:57,"TH, JS",R6A,,,7ABY,,5,,4 juveniles
DKBY,,22/05/2017,08:57,"TH, JS",R6A,,,,,,,juvenile of UHWB & 7ABY
43BY,,22/05/2017,08:57,"TH, JS",R6A,,,,,,,juvenile of UHWB & 7ABY
7IBY,,22/05/2017,08:57,"TH, JS",R6A,,,unringed,,,,
HZBY,,22/05/2017,09:15,"TH, JS",R5,18,,VXBY,6,5,,
VXBY,,22/05/2017,09:15,"TH, JS",R5,18,,HZBY,5,6,,
V9BY,,22/05/2017,09:15,"TH, JS",R5,18,,,4.5,,,juvenile with unringed parents
mKmY,,22/05/2017,09:15,"TH, JS",R5,18,,unringed,5,,,
ZAWR,,22/05/2017,09:39,"TH, JS",R5,28,,,5,6,,3 juveniles
ZHWR,,22/05/2017,09:39,"TH, JS",R5,28,,,6,5,,3 juveniles
IPRR,,22/05/2017,10:03,"TH, JS",R5,30,,unringed,6,,,
9NBY,,22/05/2017,,"TH, JS",R5,45,,,5,,,single
UCBY,,22/05/2017,10:45,"TH, JS",R15,,,IDBY,7,6,,
IDBY,,22/05/2017,10:45,"TH, JS",R15,,,UCBY,6,7,,
67BY,,22/05/2017,10:45,"TH, JS",R15,,,77BY,5,,,
77BY,,22/05/2017,10:45,"TH, JS",R15,,,67BY,,5,,
JTBY,,22/05/2017,10:45,"TH, JS",R15,,,CTBY,,5,,
2PRY,,22/05/2017,10:45,"TH, JS",R15,,,unringed,6,,,
CTBY,,22/05/2017,10:45,"TH, JS",R15,,,JTBY,5,,,
2DBY,,22/05/2017,11:10,"TH, JS",R5,70,,2ZBY,6,6,,
2ZBY,,22/05/2017,11:10,"TH, JS",R5,70,,2DBY,6,6,,
ICBY,,22/05/2017,11:10,"TH, JS",R5,70,,unringed,5.5,,,
DZBY,,22/05/2017,11:10,"TH, JS",R5,70,,4DBY,5,,,
4DBY,,22/05/2017,11:10,"TH, JS",R5,70,,DZBY,5.5,,,
32WB,,22/05/2017,11:44,"TH, JS",R16,,,44WB,,7,,
44WB,,22/05/2017,11:44,"TH, JS",R16,,,32WB,7,,,
XXBY,,22/05/2017,12:47,"TH, JS",R5,300,,CZBY,,,,
CZBY,,22/05/2017,12:47,"TH, JS",R5,300,,XXBY,,,,
AXBY,,22/05/2017,12:47,"TH, JS",R5,300,,2BDBO,5.5,6,,2 juveniles
2BDBO,,22/05/2017,12:47,"TH, JS",R5,300,,AXBY,6,5.5,,2 juveniles
APBB,,22/05/2017,12:47,"TH, JS",R5,300,,INBB,,,,
INBB,,22/05/2017,12:47,"TH, JS",R5,300,,APBB,,,,
ICBY,,22/05/2017,12:47,"TH, JS",R5,300,,,,,,
I3YY,,22/05/2017,12:47,"TH, JS",R5,300,,,,,,
BZBY,,22/05/2017,13:23,"TH, JS",R16,15,,4DBY,5,,,
4DBY,,22/05/2017,13:23,"TH, JS",R16,15,,BZBY,,5,,
V6YY,,22/05/2017,13:40,"TH, JS",R16,5,,unringed,5,,,
6BBY,,22/05/2017,16:45,"TH, JS",R1,26,,6FBY,6,5,,
6FBY,,22/05/2017,16:45,"TH, JS",R1,26,,6BBY,5,6,,
67ON,,22/05/2017,16:45,"TH, JS",R1,26,,K3BY,,,,
K3BY,,22/05/2017,16:45,"TH, JS",R1,26,,67ON,,,,
2PWR,,22/05/2017,17:05,"TH, JS",G3,20,,2NWR,4.5,5.5,,1 juvenile
2NWR,,22/05/2017,17:05,"TH, JS",G3,20,,2PWR,5.5,4.5,,1 juvenile
L3BY,,22/05/2017,17:50,"TH, JS",G3,20,,unringed,5.5,,,
4UBY,,23/05/2017,07:37,"TH, JS",R6A,19,,unringed,6,,,
H3WR,,23/05/2017,07:37,"TH, JS",R6A,35,,unringed,5,,,
XXBY,,23/05/2017,08:25,"TH, JS",R5,10,,CZBY,5,7,,
CZBY,,23/05/2017,08:25,"TH, JS",R5,10,,XXBY,7,5,,
6KBY,,23/05/2017,08:50,"TH, JS",,7,,unringed,5,,,
IHLY,,23/05/2017,09:47,"TH, JS",N3,2,,unringed,4,,,
X6WR,,23/05/2017,10:20,"TH, JS",G3,18,,unringed,6.5,,,2 juveniles
TSRB,,23/05/2017,10:35,"TH, JS",G2,35,,NDRB,5,6,,5 juveniles
NDRB,,23/05/2017,10:35,"TH, JS",G2,35,,TSRB,6,5,,5 juveniles
XXRR,,23/05/2017,10:35,"TH, JS",G2,35,,unringed,4.5,,,
67ON,,23/05/2017,10:35,"TH, JS",G2,40,,K3BY,5.5,4.5,,collared
K3BY,,23/05/2017,10:35,"TH, JS",G2,40,,67ON,4.5,5.5,,
UBRY,,23/05/2017,10:35,"TH, JS",G2,40,,,,,,
ZTRY,,24/05/2017,07:50,"TH, JS",G2,6,,unringed,7,,,
K3BY,,24/05/2017,08:02,"TH, JS",G2,60,,67ON,4.5,5,,
67ON,,24/05/2017,08:02,"TH, JS",G2,60,,K3BY,5,4.5,,
U2BY,,24/05/2017,08:02,"TH, JS",G2,16,,IZBY,5.5,4.5,,1 juvenile
IZBY,,24/05/2017,08:02,"TH, JS",G2,16,,U2BY,4.5,5.5,,1 juvenile
6HBY,,24/05/2017,08:02,"TH, JS",G2,16,,6NBY,,,,
6NBY,,24/05/2017,08:02,"TH, JS",G2,16,,6HBY,,,,
HPBB,,24/05/2017,08:51,"TH, JS",G4,70,,unringed,5,,,
H6BY,,24/05/2017,08:51,"TH, JS",G4,70,,,,,,
ZPBY,,24/05/2017,09:06,"TH, JS",R1,25,,FNON,,,,
FNON,,24/05/2017,09:06,"TH, JS",R1,25,,ZPBY,,,,collared
XSWR,,24/05/2017,09:06,"TH, JS",R1,25,,,6,,,
66RY,,24/05/2017,09:06,"TH, JS",R1,25,,unringed,6,,,
ALBY,,24/05/2017,10:39,"TH, JS",R27,13,,FPBY,5.5,,,3 juveniles
FPBY,,24/05/2017,10:39,"TH, JS",R27,13,,ALBY,,5.5,,3 juveniles
62WB,,25/05/2017,09:00,"TH, JS",G2,70,,unringed,6.5,,,
6BBY,,25/05/2017,09:00,"TH, JS",G2,70,,6FBY,5.5,4.5,,
6FBY,,25/05/2017,09:00,"TH, JS",G2,70,,6BBY,4.5,5.5,,
2BWR,,25/05/2017,09:00,"TH, JS",G2,31,,unringed,4.5,,,
UBRY,,25/05/2017,09:00,"TH, JS",G2,250,,unringed,6,,,
DNBB,,25/05/2017,09:00,"TH, JS",G2,250,,DTBB,6,5,,
DTBB,,25/05/2017,09:00,"TH, JS",G2,250,,DNBB,5.5,6,,
XXRR,,25/05/2017,09:00,"TH, JS",G2,250,,unringed,5,,,
67ON,,25/05/2017,09:00,"TH, JS",G2,250,,K3BY,5.5,5,,collared
K3BY,,25/05/2017,09:00,"TH, JS",G2,250,,67ON,5,5.5,,
6ABY,,25/05/2017,09:00,"TH, JS",G2,250,,6JBY,5,6,,
6JBY,,25/05/2017,09:00,"TH, JS",G2,250,,6ABY,6,5,,
ICBY,,25/05/2017,13:40,"TH, JS",R16,15,,UCBY,5,6.5,,
UCBY,,25/05/2017,13:40,"TH, JS",R16,15,,ICBY,6.5,5,,
CCRY,,25/05/2017,14:10,"TH, JS",R16,55,,FTBY,5.5,4.5,,
FTBY,,25/05/2017,14:10,"TH, JS",R16,55,,CCRY,4.5,5.5,,
D7WR,,25/05/2017,15:05,"TH, JS",R27,2,,2ZWR,6,5.5,,
2ZWR,,25/05/2017,15:05,"TH, JS",R27,2,,D7WR,5.5,6,,
THLY,,25/05/2017,18:33,"TH, JS",R5,35,,unringed,6,,,5 juveniles
H3WR,,25/05/2017,18:33,"TH, JS",R5,35,,unringed,6,,,
P9BY,,25/05/2017,18:33,"TH, JS",R5,35,,J9BY,5.5,6,,
J9BY,,25/05/2017,18:33,"TH, JS",R5,35,,P9BY,6,5.5,,
2JWR,,25/05/2017,19:08,"TH, JS",R5,14,,unringed,6.5,,,
ZHWR,,25/05/2017,20:07,"TH, JS",R24,,,,,,,
ZAWR,,25/05/2017,20:07,"TH, JS",R24,,,,,,,
H6WR,,25/05/2017,20:07,"TH, JS",R24,,,unringed,6,,,
ZAWR,,26/05/2017,06:48,"TH, JS",R6B,63,,ZHWR,5.5,6.5,,
ZHWR,,26/05/2017,06:48,"TH, JS",R6B,63,,ZAWR,6.5,5.5,,
B7BY,,26/05/2017,07:18,"TH, JS",R6A,24,,,5,,,is a juveniles
I3YY,,26/05/2017,07:45,"TH, JS",R5,27,,unringed,6,,,3 juveniles
2CWR,,26/05/2017,07:45,"TH, JS",R5,27,,,6,,,1 juvenile but no partner
4HYY,,26/05/2017,16:17,"TH, JS",R5,40,,unringed,5,,,4 juveniles
43BY,,26/05/2017,16:17,"TH, JS",R5,40,,,4.5,,,juvenile of UHWB & 7ABY
7ABY,,26/05/2017,16:17,"TH, JS",R5,40,,UHWB,,,,4 juveniles
UHWB,,26/05/2017,16:17,"TH, JS",R5,40,,7ABY,,,,4 juveniles
DKBY,,26/05/2017,16:17,"TH, JS",R5,40,,,,,,juvenile of UHWB & 7ABY
2JWR,,26/05/2017,17:30,"TH, JS",R5,20,,unringed,,,,
32BY,,26/05/2017,17:40,"TH, JS",R5,39,,44WB,5.5,7,,
44WB,,26/05/2017,17:40,"TH, JS",R5,39,,32BY,7,5.5,,
2PRY,,27/05/2017,07:22,"TH, JS",R6A,60,,unringed,6,,,
ZTRY,,27/05/2017,09:13,"TH, JS",G3,30,,unringed,6,,,
ZFWB,,27/05/2017,09:24,"TH, JS",G2,2,,unringed,5.5,,,
U2BY,,27/05/2017,09:24,"TH, JS",G2,40,,IZBY,6.5,5,,1 juvenile
IZBY,,27/05/2017,09:24,"TH, JS",G2,40,,U2BY,5,6.5,,1 juvenile
43BY,,25/05/2017,10:08,"TH, JS",G10,,,,4.5,,,JUV
